index:ID,director,:LABEL
20001,保罗·格林格拉斯,导演
20002,杨德昌,导演
20003,维克多·弗莱明,导演
20004,保罗·格诺维塞,导演
20005,戈尔·维宾斯基,导演
20006,卡比尔·汗,导演
20007,爱德华·兹威克,导演
20008,理查德·柯蒂斯,导演
20009,罗伯特·泽米吉斯,导演
20010,皮埃尔·柯芬,导演
20011,雅克·贝汉,导演
20012,罗伯托·贝尼尼,导演
20013,道格·里曼,导演
20014,今敏,导演
20015,金秉祐,导演
20016,拜伦·霍华德,导演
20017,丹尼斯·甘塞尔,导演
20018,迈克尔·柯蒂兹,导演
20019,罗曼·波兰斯基,导演
20020,盖·里奇,导演
20021,阿兰·葛斯彭纳,导演
20022,安德鲁·斯坦顿,导演
20023,热拉尔·乌里,导演
20024,唐·霍尔,导演
20025,马丁·斯科塞斯,导演
20026,史蒂文·斯皮尔伯格,导演
20027,张艺谋,导演
20028,山姆·伍德,导演
20029,李·昂克里奇,导演
20030,詹姆斯·卡梅隆,导演
20031,是枝裕和,导演
20032,徐景达,导演
20033,杰茜·尼尔森,导演
20034,陆川,导演
20035,钱运达,导演
20036,贝纳尔多·贝托鲁奇,导演
20037,北野武,导演
20038,迪恩·德布洛斯,导演
20039,马基德·马基迪,导演
20040,涅提·蒂瓦里,导演
20041,罗伯特·怀斯,导演
20042,查理·卓别林,导演
20043,理查德·沙因克曼,导演
20044,刘伟强,导演
20045,王树忱,导演
20046,秋昌旼,导演
20047,杨宇硕,导演
20048,史蒂芬·戴德利,导演
20049,阿斯哈·法哈蒂,导演
20050,中岛哲也,导演
20051,拉娜·沃卓斯基,导演
20052,米林宏昌,导演
20053,西德尼·吕美特,导演
20054,姜炯哲,导演
20055,斯坦利·多南,导演
20056,克里斯托弗·史密斯,导演
20057,托尼·凯耶,导演
20058,格斯·范·桑特,导演
20059,比利·怀德,导演
20060,高畑勋,导演
20061,蒂姆·波顿,导演
20062,姜文,导演
20063,宁浩,导演
20064,汤姆·麦卡锡,导演
20065,迈克尔·贝,导演
20066,罗伯·明可夫,导演
20067,马克·赫尔曼,导演
20068,李力持,导演
20069,伦尼·阿伯拉罕森,导演
20070,藤森雅也,导演
20071,亚当·艾略特,导演
20072,罗纳尔多·德尔·卡门,导演
20073,大卫·叶茨,导演
20074,卢卡·瓜达尼诺,导演
20075,杜琪峰,导演
20076,普特鹏·普罗萨卡·那·萨克那卡林,导演
20077,黑泽明,导演
20078,彼特·道格特,导演
20079,托马斯·温特伯格,导演
20080,大卫·芬奇,导演
20081,韦斯·安德森,导演
20082,宫崎骏,导演
20083,神山征二郎,导演
20084,克里斯·威廉姆斯,导演
20085,温子仁,导演
20086,克林特·伊斯特伍德,导演
20087,细田守,导演
20088,万籁鸣,导演
20089,昆汀·塔伦蒂诺,导演
20090,徐克,导演
20091,梅尔·吉布森,导演
20092,达伦·阿伦诺夫斯基,导演
20093,森淳一,导演
20094,新海诚,导演
20095,卡迪亚·兰德,导演
20096,彼得·威尔,导演
20097,尼克·卡萨维茨,导演
20098,克里斯·韦奇,导演
20099,吕克·贝松,导演
20100,黄东赫,导演
20101,乔治·库克,导演
20102,朱塞佩·托纳多雷,导演
20103,大森贵弘,导演
20104,乔·赖特,导演
20105,克里斯托夫·巴拉蒂,导演
20106,詹姆斯·麦克特格,导演
20107,瑞奇·摩尔,导演
20108,阿米尔·汗,导演
20109,克里斯托弗·诺兰,导演
20110,乔纳森·戴米,导演
20111,乔治·米勒,导演
20112,大卫·斯沃曼,导演
20113,J·麦基·格鲁伯,导演
20114,近藤喜文,导演
20115,肯尼思·洛纳根,导演
20116,周星驰,导演
20117,弗洛里安·亨克尔·冯·多纳斯马尔克,导演
20118,克里斯·桑德斯,导演
20119,理查德·林克莱特,导演
20120,加布里埃莱·穆奇诺,导演
20121,卡洛斯·沙尔丹哈,导演
20122,威廉·惠勒,导演
20123,费尔南多·梅里尔斯,导演
20124,埃里克·布雷斯,导演
20125,忻钰坤,导演
20126,安东尼·明格拉,导演
20127,路易·西霍尤斯,导演
20128,詹姆斯·曼高德,导演
20129,马丁·麦克唐纳,导演
20130,布莱恩·辛格,导演
20131,鲍勃·彼德森,导演
20132,邓肯·琼斯,导演
20133,程小东,导演
20134,弗兰克·德拉邦特,导演
20135,马丁·布莱斯特,导演
20136,小津安二郎,导演
20137,弗朗西斯·福特·科波拉,导演
20138,奥利维埃·纳卡什,导演
20139,巴瑞·莱文森,导演
20140,吴宇森,导演
20141,汤姆·提克威,导演
20142,罗杰·阿勒斯,导演
20143,陈凯歌,导演
20144,岩井俊二,导演
20145,阿德里安·莫利纳,导演
20146,洛芙琳·坦丹,导演
20147,拉斯·霍尔斯道姆,导演
20148,彼得·杰克逊,导演
20149,唐澄,导演
20150,奥里奥尔·保罗,导演
20151,柯克·德·米科,导演
20152,莫滕·泰杜姆,导演
20153,西恩·潘,导演
20154,茂文·勒鲁瓦,导演
20155,加文·欧康诺,导演
20156,罗伯·莱纳,导演
20157,严定宪,导演
20158,汉内斯·赫尔姆,导演
20159,杰拉德·布什,导演
20160,丹尼·博伊尔,导演
20161,阿尔弗雷德·希区柯克,导演
20162,李安,导演
20163,华森·波克彭,导演
20164,M·奈特·沙马兰,导演
20165,泷田洋二郎,导演
20166,罗启锐,导演
20167,李濬益,导演
20168,拉吉库马尔·希拉尼,导演
20169,詹姆斯·沃德·布柯特,导演
20170,米洛斯·福尔曼,导演
20171,达米恩·查泽雷,导演
20172,克里斯·雷纳德,导演
20173,埃里克·托莱达诺,导演
20174,陈可辛,导演
20175,约翰·卡尼,导演
20176,朗·霍华德,导演
20177,保罗·哈吉斯,导演
20178,王家卫,导演
20179,让-皮埃尔·热内,导演
20180,雅克·克鲁奥德,导演
20181,安德鲁·尼科尔,导演
20182,麦兆辉,导演
20183,雷德利·斯科特,导演
20184,莉莉·沃卓斯基,导演
20185,赛尔乔·莱昂内,导演
20186,李惠民,导演
20187,让-马克·瓦雷,导演
20188,奉俊昊,导演
20189,克里斯·哥伦布,导演
20190,特瑞·乔治,导演
20191,汤姆·霍珀,导演
20192,萨姆·门德斯,导演
20193,斯坦利·库布里克,导演
20194,达米安·斯兹弗隆,导演
20195,吉恩·凯利,导演
20196,李焕庆,导演
20197,刘镇伟,导演
